Age,F,M
18,3:30:00,3:00:00
19,3:30:00,3:00:00
20,3:30:00,3:00:00
21,3:30:00,3:00:00
22,3:30:00,3:00:00
23,3:30:00,3:00:00
24,3:30:00,3:00:00
25,3:30:00,3:00:00
26,3:30:00,3:00:00
27,3:30:00,3:00:00
28,3:30:00,3:00:00
29,3:30:00,3:00:00
30,3:30:00,3:00:00
31,3:30:00,3:00:00
32,3:30:00,3:00:00
33,3:30:00,3:00:00
34,3:30:00,3:00:00
35,3:35:00,3:05:00
36,3:35:00,3:05:00
37,3:35:00,3:05:00
38,3:35:00,3:05:00
39,3:35:00,3:05:00
40,3:40:00,3:10:00
41,3:40:00,3:10:00
42,3:40:00,3:10:00
43,3:40:00,3:10:00
44,3:40:00,3:10:00
45,3:50:00,3:20:00
46,3:50:00,3:20:00
47,3:50:00,3:20:00
48,3:50:00,3:20:00
49,3:50:00,3:20:00
50,3:55:00,3:25:00
51,3:55:00,3:25:00
52,3:55:00,3:25:00
53,3:55:00,3:25:00
54,3:55:00,3:25:00
55,4:05:00,3:35:00
56,4:05:00,3:35:00
57,4:05:00,3:35:00
58,4:05:00,3:35:00
59,4:05:00,3:35:00
60,4:20:00,3:50:00
61,4:20:00,3:50:00
62,4:20:00,3:50:00
63,4:20:00,3:50:00
64,4:20:00,3:50:00
65,4:35:00,4:05:00
66,4:35:00,4:05:00
67,4:35:00,4:05:00
68,4:35:00,4:05:00
69,4:35:00,4:05:00
70,4:50:00,4:20:00
71,4:50:00,4:20:00
72,4:50:00,4:20:00
73,4:50:00,4:20:00
74,4:50:00,4:20:00
75,5:05:00,4:35:00
76,5:05:00,4:35:00
77,5:05:00,4:35:00
78,5:05:00,4:35:00
79,5:05:00,4:35:00
80,5:20:00,4:50:00
81,5:20:00,4:50:00
82,5:20:00,4:50:00
83,5:20:00,4:50:00
84,5:20:00,4:50:00
